name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Tata NEXON,Tata,Nexon,Mumbai,2018,Diesel,53111,2,Manual,SUV,Hi-Thane West - Manpada,FALSE,Thane,Maharashtra,13898,55000,804000,https://www.cars24.com/buy-used-tata-nexon-2018-cars-mumbai-10380391711,14-09-2022
Maruti Vitara Brezza,Maruti,Vitara Brezza,Bangalore,2018,Diesel,62634,1,Automatic,SUV,Hi-South 2 Bengaluru,FALSE,Bangalore South,Karnataka,13898,140700,936699,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-bangalore-10265898741,04-09-2022
Hyundai VENUE,Hyundai,Venue,Noida,2021,Petrol,12681,1,Manual,SUV,Hi-Multan Nagar,FALSE,Ghaziabad,Uttar Pradesh,9688,31200,857000,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-noida-11282897765,14-10-2022
Maruti Swift Dzire,Maruti,Swift Dzire,Mumbai,2012,Petrol,76869,2,Manual,Sedan,Hi-Andheri East,FALSE,Thane,Maharashtra,13898,27000,397000,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-10356190743,20-10-2022
Mahindra Scorpio,Mahindra,Scorpio,Kolkata,2021,Diesel,26772,2,Manual,SUV,Hi-Kolkata,FALSE,Kolkata,West Bengal,9688,79300,1564000,https://www.cars24.com/buy-used-mahindra-scorpio-2021-cars-kolkata-11985277777,03-11-2022
Hyundai Eon,Hyundai,Eon,Lucknow,2017,Petrol,29305,1,Manual,Hatchback,Lucknow-Pns,FALSE,Lucknow,Uttar Pradesh,12542,6800,313600,https://www.cars24.com/buy-used-hyundai-eon-2017-cars-lucknow-13292199741,29-09-2022
Maruti Baleno,Maruti,Baleno,Gurgaon,2016,Petrol,97010,2,,,Hi-Noida,FALSE,Delhi,Delhi,13898,9150,461000,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-gurgaon-10557272775,04-11-2022
Ford FREESTYLE,Ford,Freestyle,Bangalore,2018,Petrol,25433,1,Manual,Hatchback,Hi-North 3 Bengaluru,FALSE,Bengaluru,Karnataka,13898,64300,636000,https://www.cars24.com/buy-used-ford-freestyle-2018-cars-bangalore-10280394749,05-09-2022
Hyundai VENUE,Hyundai,Venue,Gurgaon,2019,Diesel,29776,1,Manual,SUV,Faridabad,FALSE,Faridabad,Haryana,13898,50200,880000,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-gurgaon-11015899726,24-08-2022
Ford New Figo,Ford,New Figo,Bangalore,2016,Petrol,36983,1,Manual,Hatchback,Hi-East 1 Bengaluru,FALSE,Bengaluru,Karnataka,13898,-51000,541000,https://www.cars24.com/buy-used-ford-new-figo-2016-cars-bangalore-10236394719,13-07-2022
Renault Kwid,Renault,Kwid,Ahmedabad,2019,Petrol,12388,1,Manual,Hatchback,Hi-Vastral Ring Road,FALSE,Ahmedabad East,Gujarat,12542,28100,388000,https://www.cars24.com/buy-used-renault-kwid-2019-cars-ahmedabad-11430195762,07-10-2022
Hyundai i20,Hyundai,I20,Ludhiana,2013,Petrol,70282,2,Manual,Hatchback,Hi-Pratap Chowk,FALSE,Ludhiana,Punjab,13898,-38300,389000,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-ludhiana-12925176790,05-11-2022
Jeep Compass,Jeep,Compass,Bangalore,2017,Diesel,67651,2,Manual,Luxury SUV,Hi-North 2 Bengaluru,FALSE,Bengaluru,Karnataka,19407,50400,1374000,https://www.cars24.com/buy-used-jeep-compass-2017-cars-bangalore-10222895771,01-07-2022
Maruti S Cross,Maruti,S Cross,Gurgaon,2019,Diesel,50528,1,Manual,SUV,Hi-Gurgaon New,FALSE,Gurgaon,Haryana,13898,5000,983000,https://www.cars24.com/buy-used-maruti-s-cross-2019-cars-gurgaon-10191970797,12-10-2022
Maruti Ertiga,Maruti,Ertiga,Chennai,2019,Petrol,72390,1,Manual,SUV,Chennai-Pns,FALSE,Cuddalore,Tamil Nadu,12188,-9500,936000,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-chennai-11322373779,09-11-2022
Hyundai Verna,Hyundai,Verna,Mumbai,2017,Petrol,58830,1,Automatic,Sedan,Mumbai-Pns,FALSE,Mumbai,Maharashtra,19407,74100,674000,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-mumbai-10346492766,06-10-2022
